id;ra_aluno;nome_aluno;periodo;curso
1;58533;Licensed 1080p Future;66757;Engenharia_Eletrica
2;67745;Isle;89326;Engenharia_Controle_Automacao
3;56919;grey;86000;Engenharia_Eletronica
4;47972;HDD;80873;Engenharia_Controle_Automacao
5;3728;New Jersey;108;Engenharia_Eletrica
6;94964;parse New Jersey Product;22143;Engenharia_Eletronica
7;38057;Baby Designer;17033;Engenharia_Eletronica
8;63470;initiative;74217;Engenharia_Mecanica
9;85982;bleeding-edge synthesize Tools;45718;Engenharia_Mecanica
10;56011;mint green;49853;Engenharia_Mecanica
